2025-10-16T22:39:16.540Z [INFO]: Login Successfull by admin role-AD | Details: "2025-10-16T22:39:16.540Z"
2025-10-16T22:39:16.607Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-10-16T22:39:16.675Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-10-16T22:39:16.710Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-10-16T22:39:19.354Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:39:20.423Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:39:20.623Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:39:26.211Z [INFO]: Purchase data inserted  by admin role-AD | Details: {"base":null,"purchaseID":"68f1741e5d1c607a35c76e78"}
2025-10-16T22:39:26.359Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:40:03.035Z [INFO]: Purchase data inserted  by admin role-AD | Details: {"base":null,"purchaseID":"68f174425d1c607a35c76fda"}
2025-10-16T22:40:03.201Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:42:57.222Z [INFO]: Purchase data inserted  by admin role-AD | Details: {"base":"B1","purchaseID":"68f174f150cdabcaf8cbf571"}
2025-10-16T22:42:57.580Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:43:27.310Z [INFO]: Assigning Asset Done  by admin role-AD | Details: {"base":"B1","assignedTo":"S11","assignmentId":"68f1750f50cdabcaf8cbf6d3"}
2025-10-16T22:43:27.474Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T22:44:46.194Z [INFO]: Assigning Asset Done  by admin role-AD | Details: {"base":"B1","updAsgnId":"68ea646441d3fa5125cbee4a","expndAstLen":1}
2025-10-16T22:44:46.570Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T23:23:40.304Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-10-16T23:23:42.483Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:23:43.306Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:23:43.502Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:23:52.961Z [INFO]: Purchase data inserted  by admin role-AD | Details: {"base":"B2","purchaseID":"68f17e88b5a8d5dd2d9a2b7b"}
2025-10-16T23:23:53.078Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:24:07.315Z [INFO]: ASSIGNING Asset  by admin role-AD | Details: {"base":"B2","assignedTo":"S21","assignmentId":"68f17e97b5a8d5dd2d9a2c1b"}
2025-10-16T23:24:07.428Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:24:17.851Z [INFO]: EXPENDING Asset  by admin role-AD | Details: {"base":"B2","updAsgnId":"68ed8e9f1ee72a280f7ae4c1","expndAstLen":1}
2025-10-16T23:24:17.955Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:24:28.420Z [INFO]: Asset Transfer  by undefined role-undefined | Details: {"baseId":"B2","To":"B1","status":"Pending"}
2025-10-16T23:24:28.482Z [INFO]: Transfering Base  by undefined role-undefined | Details: {"baseId":"B2","transferId":"68f17eacb5a8d5dd2d9a2d1e"}
2025-10-16T23:24:28.516Z [INFO]: Recieving Base  by undefined role-undefined | Details: {"baseId":"B1","transferId":"68f17eacb5a8d5dd2d9a2d1e"}
2025-10-16T23:24:28.612Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-10-16T23:24:33.298Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
2025-10-16T23:24:38.077Z [INFO]: RECEIVED Transfer  by admin role-AD | Details: {"transferID":"68f17eacb5a8d5dd2d9a2d1e","RecBase":"B1"}
2025-10-16T23:24:38.196Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B1"}
