2025-12-18T19:41:48.494Z [INFO]: Login Successfull by admin role-AD | Details: "2025-12-18T19:41:48.494Z"
2025-12-18T19:41:48.572Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-18T19:41:48.694Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-18T19:41:48.746Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-18T19:41:50.674Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:41:59.352Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:41:59.520Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:02.828Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:03.016Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:04.667Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:04.852Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:05.708Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:05.860Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:07.910Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-18T19:42:08.070Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:21:20.846Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-19T09:21:20.907Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-19T09:21:35.185Z [INFO]: Login Successfull by admin role-AD | Details: "2025-12-19T09:21:35.185Z"
2025-12-19T09:21:35.322Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-19T09:21:38.315Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:21:38.955Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:21:39.284Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:21:42.729Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-19T09:21:43.179Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:21:45.347Z [INFO]: Req for Base Ids  by admin role-AD | Details: {"idsLength":4}
2025-12-19T09:21:45.600Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:24:41.104Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:24:41.429Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:27:37.760Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:27:38.315Z [INFO]: Req for Base Data  by admin role-AD | Details: {"baseId":"B2"}
2025-12-19T09:28:56.544Z [INFO]: Login Successfull by commB1 role-COM | Details: "2025-12-19T09:28:56.544Z"
2025-12-19T09:28:56.982Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:28:57.379Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:28:57.706Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:28:59.957Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:00.257Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:02.583Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:03.251Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:26.170Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:27.644Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:57.293Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:29:57.923Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:30:02.782Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:30:04.996Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:31:01.279Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
2025-12-19T09:31:01.607Z [INFO]: Req for Base Data  by commB1 role-COM | Details: {"baseId":"B1"}
